metric,value
raw_laps,406.0
pit_stop_laps,18.0
post_pit_laps,18.0
extreme_slow_laps,0.0
removed_laps,36.0
retained_laps,370.0
completed_drivers,7.0
driver_median_multiplier,1.5
eligible_race_id,841.0
